Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
By status,100,864,776,1053,39.14,0.000%,4.83840,1.60,0.94,338.0
TOTAL,100,864,776,1053,39.14,0.000%,4.83840,1.60,0.94,338.0
